"","","","","Date :","28-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","23","90","50","A few showers"
"Batticaloa","31","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","65","Showers or thundershowers after 2.00p.m"
"Galle","31","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","33","24","95","55","A few showers"
"Kandy","31","22","95","65","Showers or thundershowers at times"
"Nuwara-Eliya","23","11","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","24","95","70","Mainly fair"
"Mannar","34","24","85","60","Showers or thundershowers are likely after 2.00p.m"
