"","வவப்பநிலை (","","","",""
"நகரம்","","","","","வானிலை"
"","உச்ச","குலறந்த","உச்ச","குலறந்த",""
"","","","","",""
"அனுராதபுரம்","32","25","90","60","பிரதானமாக சீரான வானிலை"
"","","","","",""
"மட்டக்களப்பு","34","25","95","60","பிரதானமாக சீரான வானிலை"
"","","","","",""
"வகாழும்பு","30","26","85","70","சிறிதளவில் மலை பபய்யும்"
"","","","","",""
"காைி","29","26","90","80","சிறிதளவில் மலை பபய்யும்"
"","","","","",""
"யாழ்ப்பாணம்","31","26","85","80","பிரதானமாக சீரான வானிலை"
"","","","","",""
"கண்டி","29","21","90","65","சிறிதளவில் மலை பபய்யும்"
"","","","","",""
"நுவவரைியா","19","14","90","70","சிறிதளவில் மலை பபய்யும்"
"","","","","",""
"இரத்தினபுரி","32","24","90","60","சிறிதளவில் மலை பபய்யும்"
"","","","","",""
"திருககாணமலை","34","25","85","50","பிரதானமாக சீரான வானிலை"
