"","Weather Forecast for Main Cities","","","",""
"","","","","Date :","14-Sep-2022"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","60","Mainly fair"
"Batticaloa","34","25","95","60","Mainly fair"
"Colombo","30","26","85","70","A few showers"
"Galle","29","26","90","80","A few showers"
"Jaffna","31","26","85","80","Mainly fair"
"Kandy","29","21","90","65","A few showers"
"Nuwara-Eliya","19","14","90","70","A few showers"
"Ratnapura","32","24","90","60","A few showers"
"Trincomalee","34","25","85","50","Mainly fair"
"Mannar","30","26","85","75","Mainly fair"
