"2020.05.11","4","15","","","","","4","",""
"","181","632","0","0","0","0","6","0","0"
"","181","632","0","0","0","0","6","0","0"
"","284","1054","0","2","0","7","95","2","0"
"","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","",""
"","","","ආපදා කළම ාකරණ මධ්‍යස්ත්‍රථා ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","",""
"","","","……………………………………………………….","","","","","",""
"","","","H.D.G. Priyantha","","","","","",""
"","","","Assistant Director  / Duty Officer","","","","","",""
"","","","For Director General","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","",""
