"2020.06.21","1","2","","","","","1","",""
"","18","72","0","0","0","0","18","0","0"
"","18","72","0","0","0","0","18","0","0"
"","29","120","0","0","0","0","29","0","0"
"","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","",""
"","","","ආපදා කළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","",""
"","","","……………………………………………………….","","","","","",""
"","","","J.M.A.R.Jayarathne","","","","","",""
"","","","Deputy Director (EOC)c.d   /  Duty Officer","","","","","",""
"","","","For Director General","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","",""
