"","","Page 2","","","","","","",""
"47","183","","0","0","0","0","47","0","0"
"","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","",""
"","","ආ දො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","",""
"","","විදුත් තැ ැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","",""
"","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","",""
"","","……………………………………………………….","","","","","","",""
"","","Thushitha Waidyarathne","","","","","","",""
"","","Assistant Director   /  Duty Officer","","","","","","",""
"","","For Director General","","","","","","",""
"","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","","",""
