"","®","Restore damaged septic tanks of most vulnerable households"
"","®","Clean affected/damaged wells and rehabilitate the damaged wells"
"","®","Distribution of supplementary food/snack packs                                                          i"
"Food security","",""
"","®","Distributionofcash/nutritiousfoodstohouseholdswithdisplacedpreg-i"
"","","nant women and lactating mothers"
"","®","Strengthen  health  promotion  and  surveillance to  prevent outbreak of dis-"
"Health","",""
"","","ease, provision of personnel protective kits and hand sanitizer liquid"
"","®","Provision of shelter repair items for those households whose houses have"
"Emergency Shelter and NFl","",""
