"Emergency Contact Information","","",""
"Responsible Agency/Unit","Officer","Contact","Email"
"Response Operation Coordination-","Director- Emergency","0773957903","direoc@dmc.gov.lk"
"DMC","","",""
"National Disaster Relief Services","Director","0773550134","iraj.chaminda.pathiraja@gmail.com"
"Emergency Operation Centre","Duty Officer","0773957900","eocdmc@dmc.gov.lk"
"DMC","","0112670002",""
"","","0702117117",""
"Military Resources Mobilization","Military Coordinator","0772095328","miltorycoordinator@dmc.gov.lk"
"Emergency Call Centre","Duty Officer","117","info@dmc.gov.lk"
