"1","3","","","","","","","",""
"36","39","0","0","0","0","1","0","0","0"
"36","39","0","0","0","0","1","0","0","0"
"5960","20624","1","0","1","0","9","0","0","109"
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","",""
"","","ආපදා කළ නාකරණ  ධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","",""
"","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","",""
"","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","",""
"","","……………………………………………………….","","","","","","",""
"","","Hiran Thilakarathne","","","","","","",""
"","","Assistant Director / Duty Officer","","","","","","",""
"","","For Director General","","","","","","",""
"","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","",""
