"යාම්","","","","",""
"0 
0 
0 
0 
0 
0 
0","1","0","11","31","0"
"0 
0 
0 
0 
7 
37 
133","44","0","458","1808","1171"
"➢  බලපෑමට ලක් වූ දිසරික් සංඛ්‍යාව",":","","07","",""
"➢  බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ සංඛ්‍යාව :","","","20","",""
"➢  බලපෑමට ලක් වූ මුළු පවුේ සංඛ්‍යාව",":","","37","",""
"➢  බලපෑමට ලක් වූ මුළු පුේගල සංඛ්‍යාව",":","","133","",""
"➢  මියයෑම්",":","","00","",""
"➢  තුවාල ලැබූ සංඛ්‍යාව",":","","00","",""
"➢  අතුරුදහන් වීම්","",":          00","","",""
"➢  මුළු පූර්ණ හානි සංඛ්‍යාව",":","","00","",""
"➢  මුළු අර්ධ හානි සංඛ්‍යාව",":","","07","",""
"➢  මුළු සුරක්ෂිත මධයසරථාන සංඛ්‍යාව",":","","44","",""
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව",":","","458","",""
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පුේගල සංඛ්‍යාව",":","","1808","",""
"➢  ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව",":","","1171","",""
"➢  ඥාති නිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව",":","","4190","",""
